level,chars,pinyin,new_words
一级,觉,jiào,"['不知不觉', '觉醒', '错觉', '视觉', '发觉', '直觉', '感觉', '觉得', '自觉', '知觉', '睡觉']"
一级,觉,jué,"['不知不觉', '觉醒', '错觉', '视觉', '发觉', '直觉', '感觉', '觉得', '自觉', '知觉', '睡觉']"
二级,角,jiǎo,"['视角', '角色', '角落', '角度', '主角', '三角']"
四级,角,jué,"['视角', '角色', '角落', '角度', '主角', '三角']"
一级,谁,shuí,[]
一级,谁,shéi,[]
三级,调,diào,"['调节', '调度', '调动', '单调', '下调', '上调', '强调', '高调', '低调', '调查']"
三级,调,tiáo,"['调节', '调度', '调动', '单调', '下调', '上调', '强调', '高调', '低调', '调查']"
高等,豁,huō,"['豁达', '豁出去']"
高等,豁,huò,"['豁达', '豁出去']"
三级,转,zhuǎn,"['转向', '转型', '好转', '转变', '转让', '转达', '转学']"
六级,转,zhuàn,"['转向', '转型', '好转', '转变', '转让', '转达', '转学']"
四级,载,zài,"['载体', '转载', '记载', '下载']"
五级,载,zǎi,"['载体', '转载', '记载', '下载']"
一级,过,guò,"['不过', '过年', '过后', '过不去', '过于', '过时', '过去', '过来']"
二级,过,guo,"['不过', '过年', '过后', '过不去', '过于', '过时', '过去', '过来']"
一级,还,huán,"['还有', '还是']"
一级,还,hái,"['还有', '还是']"
高等,逮,dài,['逮捕']
高等,逮,dǎi,['逮捕']
一级,都,dōu,[]
三级,都,dū,[]
一级,重,zhòng,"['比重', '重点', '重中之重', '重心', '重要', '至关重要', '重型', '重新', '重大', '看重', '重任', '加重', '着重']"
二级,重,chóng,"['比重', '重点', '重中之重', '重心', '重要', '至关重要', '重型', '重新', '重大', '看重', '重任', '加重', '着重']"
二级,量,liàng,"['打量', '热量', '产量', '尽量', '少量', '正能量', '大量', '分量', '数量', '重量级', '较量', '总量', '重量', '能量']"
四级,量,liáng,"['打量', '热量', '产量', '尽量', '少量', '正能量', '大量', '分量', '数量', '重量级', '较量', '总量', '重量', '能量']"
高等,钉,dìng,"['碰钉子', '钉子']"
高等,钉,dīng,"['碰钉子', '钉子']"
六级,钻,zuān,"['钻石', '钻空子']"
高等,钻,zuàn,"['钻石', '钻空子']"
六级,铺,pū,['铺路']
六级,铺,pù,['铺路']
二级,长,cháng,"['所长', '会长', '长大']"
二级,长,zhǎng,"['所长', '会长', '长大']"
一级,间,jiān,"['其间', '时间', '中间', '人间', '之间']"
五级,间,jiàn,"['其间', '时间', '中间', '人间', '之间']"
高等,闷,mēn,"['纳闷儿', '沉闷', '烦闷']"
高等,闷,mèn,"['纳闷儿', '沉闷', '烦闷']"
四级,降,jiàng,"['降低', '下降', '投降']"
高等,降,xiáng,"['降低', '下降', '投降']"
一级,难,nán,"['为难', '难得', '难过', '难点', '难以', '难得一见', '不难', '难处', '难听', '难看', '难受', '难道', '很难说', '难说']"
五级,难,nàn,"['为难', '难得', '难过', '难点', '难以', '难得一见', '不难', '难处', '难听', '难看', '难受', '难道', '很难说', '难说']"
六级,露,lù,"['露天', '流露', '露面']"
六级,露,lòu,"['露天', '流露', '露面']"
